,pair,open_date,enter_reason,exit_reason,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),sma-25 (entry),profit_abs,profit_ratio,sma-compare (entry),open (exit),close (exit),sma-07 (exit),mean-grad-hist (exit),volume (exit),sma-compare (exit),short_kdj (exit),ema-12 (exit),sma-25 (exit),ema-26 (exit),low (exit),long_jcrosk (exit),sma-05 (exit),high (exit)
2248,AAVE/USDT:USDT,2021-05-02 04:15:00+00:00,first_buy,trailing_stop_loss,481.753,489.148,493.9424869294517,496.24137790811943,474.001,1,488.119,20183.5,0,False,490.4792000000013,493.17971428571474,498.3850800000011,1.07784001,0.02204954860676922,1,512.847,511.536,514.122428571429,0,10046.4,1,False,518.3638353882025,523.2190000000012,516.8066392406917,507.663,1,513.7436000000006,515.745
2222,AAVE/USDT:USDT,2021-04-18 00:30:00+00:00,first_buy,trailing_stop_loss,428.798,429.982,429.72983239862117,432.122442012204,415.0,1,415.175,17877.9,0,False,425.97220000000124,429.02271428571476,433.3760400000008,-2.3394827,-0.05628868382386507,1,405.746,402.302,409.91042857142895,1,14350.6,1,False,420.57542819470757,424.7198800000008,413.3232349666412,398.0,0,407.89500000000106,409.021
2225,AAVE/USDT:USDT,2021-04-18 04:15:00+00:00,first_buy,trailing_stop_loss,322.779,356.966,370.4759512423141,394.5204880676933,319.551,0,349.102,75877.8,0,False,340.4726000000011,358.57414285714316,405.1714400000008,1.3072405,0.03737595527924802,1,349.405,367.504,353.1670000000003,0,70914.8,1,False,392.51926672934565,402.40744000000086,370.0187279742658,344.103,0,334.86580000000106,375.0
2226,AAVE/USDT:USDT,2021-04-18 04:45:00+00:00,first_buy,trailing_stop_loss,368.046,388.852,368.5443082859172,390.1426543790237,348.531,0,360.435,68333.6,0,False,340.08460000000105,347.18600000000026,399.3272800000008,2.72632806,0.07558198688346794,1,392.5,394.732,395.00314285714325,1,16851.2,0,False,387.51594966738094,375.18816000000083,388.56566947443633,390.764,0,398.58840000000095,398.097
2227,AAVE/USDT:USDT,2021-04-18 08:45:00+00:00,first_buy,trailing_stop_loss,394.945,396.244,388.3543357091384,387.4919533957231,386.977,1,387.192,15788.0,0,False,397.89220000000097,396.0174285714289,374.23136000000085,-3.0747463,-0.07932367916408532,0,374.633,374.184,375.9485714285718,1,11539.3,1,False,380.491144764252,380.97880000000083,377.35923983587014,374.0,0,375.87480000000096,379.683
2228,AAVE/USDT:USDT,2021-04-18 11:45:00+00:00,first_buy,trailing_stop_loss,374.18,375.898,374.3475106303517,378.8090599669,356.846,1,357.783,25821.2,0,False,372.29940000000096,373.6595714285718,380.70736000000085,1.40552588,0.03924912530794916,1,376.968,374.86,381.21928571428606,1,12177.2,1,False,385.8235996024766,387.99804000000097,383.2404056257499,372.894,0,379.51660000000084,378.071
2229,AAVE/USDT:USDT,2021-04-19 11:00:00+00:00,first_buy,trailing_stop_loss,374.793,376.572,382.1491124525576,385.1068144467376,370.826,0,376.147,12168.2,0,False,377.5724000000008,379.9415714285718,387.39904000000104,-1.6145068,-0.04286897937193761,1,370.613,362.884,373.3587142857147,1,14898.6,1,False,379.15280480594663,379.86456000000095,375.1075161587054,362.0,0,371.90240000000074,372.564
2230,AAVE/USDT:USDT,2021-04-19 14:45:00+00:00,first_buy,trailing_stop_loss,362.874,365.77,372.46820598044303,377.582374820321,355.759,1,357.952,19493.2,0,False,368.83380000000074,370.6355714285719,378.63744000000094,-1.67735037,-0.0468438476246368,1,345.029,344.495,350.54285714285743,1,9538.7,1,False,355.64469750849815,356.489480000001,352.0207193134816,343.748,0,348.57500000000084,348.155
2224,AAVE/USDT:USDT,2021-04-18 03:45:00+00:00,first_buy,trailing_stop_loss,335.81,336.385,383.74105586736437,404.18404448215745,227.699,1,300.604,196102.9,0,False,367.62780000000106,379.73000000000036,413.2870000000008,6.4644272,0.10747018230360109,1,300.454,322.778,367.4327142857146,1,90236.1,1,False,398.15396711310876,408.71840000000077,374.3621241954622,286.373,0,351.11260000000107,326.474
2249,AAVE/USDT:USDT,2021-05-03 14:00:00+00:00,first_buy,trailing_stop_loss,511.29,511.673,515.4311562805852,517.5862179520393,501.107,0,507.866,20704.9,0,False,512.4292000000006,512.5817142857147,522.5452400000012,-1.84676875,-0.03633427785691436,1,505.334,504.82,512.5941428571435,1,7794.0,0,False,511.9864670976081,511.5824000000012,510.6286950743199,502.0,0,510.6546000000006,508.99
