,open (entry),high (entry),ema-26 (entry),ema-12 (entry),low (entry),mean-grad-hist (entry),close (entry),volume (entry),sma-25 (entry),long_jcrosk (entry),short_kdj (entry),sma-05 (entry),sma-07 (entry),profit_abs,enter_reason,long-small-rl (entry),short-small-rl (entry),exit_reason,action
78,7.044,7.065,7.175912543240803,7.247040499779231,6.9510000000000005,1,7.002,61321.0,7.295000000000281,0,0,7.092200000000363,7.132428571429375,3.89642903,first_buy,go_long,go_long,long-exit-profit,go_long
79,9.368,9.47,9.167715749544625,9.08328243985416,9.308,0,9.448,73242.0,9.07184000000028,0,0,9.255000000000354,9.18528571428653,4.09086896,first_buy,go_long,go_long,long-exit-profit,go_long
80,4.766,4.771,4.881119929371848,4.966926708351425,4.597,1,4.731,352719.0,5.002000000000293,0,0,4.822200000000343,4.8500000000008985,3.9020846,first_buy,go_long,go_long,long-exit-profit,go_long
81,6.256,6.352,6.160765841935594,6.069297887062765,6.255,0,6.345,45535.0,6.049920000000283,0,0,6.233800000000352,6.200428571429475,4.3408788,first_buy,go_long,go_long,long-exit-profit,go_long
82,14.57,14.57,14.698182941787453,14.81805680351163,14.09,1,14.4,12410.0,14.853199999999893,0,0,14.629999999999107,14.672857142856884,3.94503421,first_buy,go_long,go_long,long-exit-profit,go_long
83,0.15128,0.15128,0.158540234448497,0.170240335939079,0.13924,1,0.14444,7298.0,0.1714276000000001,0,0,0.1507760000000002,0.1543414285714286,3.5546,first_buy,go_long,go_long,long-exit-profit,go_long
84,0.19556,0.20203,0.1617203293343737,0.1552051721741629,0.18352,0,0.18648,31240.0,0.1487188000000001,0,0,0.1722800000000002,0.163242857142857,3.451878,first_buy,go_long,go_long,long-exit-profit,go_long
85,0.25596,0.26794,0.2249092698993103,0.2140172439897111,0.24467,0,0.25111,22398.0,0.2077292,0,0,0.2369200000000003,0.2287371428571427,3.3321556,first_buy,go_long,go_long,long-exit-profit,go_long
86,0.335,0.35,0.3124914057918674,0.2958344919307023,0.32601,1,0.33309,34296.0,0.2880656,0,0,0.3244260000000002,0.3218757142857141,3.5988453,first_buy,go_long,go_long,long-exit-profit,go_long
87,0.45462,0.50858,0.4326230391373307,0.4143267153954846,0.45001,0,0.47,126161.0,0.408698,0,0,0.4433360000000005,0.439521428571428,3.6996902,first_buy,go_long,go_long,long-exit-profit,go_long
