,open,high,ema-26,ema-12,low,mean-grad-hist,close,volume,sma-25,long_jcrosk,short_kdj,sma-compare,is_short,nlpreds,reward
383,3.1514,3.1774,3.108865759202759,3.0525062024726037,3.1431,1,3.1575,436792.1,3.035236000000005,0,0,0,1,go_long,-7.51270809
384,22.681,22.754,23.10727847665601,23.26267648407292,22.392,1,22.662,495012.82,23.388079999999828,0,0,1,0,go_long,-0.51298129
385,18.432,18.588,18.726355572895013,18.818938502249026,18.35,1,18.481,148923.09,18.807039999999898,0,0,1,0,go_long,4.05493354
386,16.909,16.926,16.843906916683917,16.74175357630056,16.817,1,16.832,85153.83,16.802959999999874,0,0,0,0,go_long,4.60162976
387,15.453,15.471,15.49518936624658,15.536558231285031,15.445,0,15.461,31855.97,15.546359999999872,0,0,1,0,go_long,-3.4294969
388,17.323,17.323,17.313571253821017,17.33075181252242,17.285,1,17.287,23355.03,17.329959999999872,1,0,0,0,go_long,-5.12450367
389,16.41,16.493,16.58514434868183,16.71149455719567,16.377,1,16.485,108879.37,16.76923999999986,0,0,1,0,go_long,-15.07724023
390,18.153,18.217,18.302110324166804,18.45829924061136,18.067,0,18.092,181503.28,18.50855999999989,0,0,1,0,go_long,-10.41699647
391,21.783,21.783,21.634489695018296,21.616926309160714,21.508,1,21.508,276366.56,21.63771999999985,0,0,0,0,go_long,16.43862496
392,18.356,18.415,18.49959335676891,18.545175108686344,18.32,1,18.376,93832.4,18.53431999999987,0,0,1,0,go_long,-12.33645759
393,22.368,22.383,22.45501193098985,22.54783572107781,22.0,1,22.134,633124.84,22.604879999999916,0,0,1,0,go_long,4.66941255
394,20.735,20.795,20.83265085948255,20.91954929415302,20.654,1,20.67,213813.15,20.911359999999995,0,0,1,0,go_long,4.87899731
395,19.053,19.057,19.132223152848336,19.171164041601077,19.013,1,19.03,42470.52,19.203799999999983,0,0,1,0,go_long,-15.44636478
396,24.782,24.904,24.99906498537718,25.135412868432635,24.451,1,24.506,496461.61,25.172600000000024,0,0,1,0,go_long,-1.42400958
397,27.135,27.136,27.186398315036197,27.235798169904285,27.114,1,27.126,22577.51,27.249320000000008,0,0,1,0,go_long,-13.38840018
398,41.0,41.25,40.986264482676376,40.770742549715926,40.872,1,40.916,528486.02,40.71584000000005,0,0,0,0,go_long,5.17200245
399,20.934,20.955,20.972153473932025,20.998972110834032,20.69,1,20.818,232564.91,21.031159999999872,0,0,0,0,go_long,2.76539989
400,36.88,37.037,37.363000751318005,37.58644999403894,36.475,1,36.65,938530.37,37.70464000000005,0,0,1,0,go_long,95.07219646
401,1.2822,1.2932,1.2835918845138443,1.2757645377365825,1.279,0,1.2927,98839.0,1.2851840000000043,0,0,0,1,go_short,36.62185747
402,1.1796,1.185,1.1617850063488595,1.1500550047935671,1.1632,0,1.1747,671857.0,1.155248000000002,0,0,0,1,go_short,-19.50257261
403,1.6834,1.6995,1.6479019015043412,1.6297764641754349,1.6741,0,1.6921,1116803.4,1.624940000000002,1,0,0,1,go_short,7.44440122
404,1.9358,1.9607,1.912168504058436,1.8693370083347616,1.9189,1,1.9542,1554295.3,1.8701320000000003,0,0,0,1,go_short,8.84573562
405,2.1523,2.175,2.122419564140499,2.11464239574112,2.1508,0,2.1702,1869872.0,2.109544000000004,0,0,0,1,go_short,-13.0972414
406,2.3451,2.3595,2.32348822878731,2.290920552309304,2.3359,0,2.3527,647802.7,2.292968000000004,0,0,0,1,go_short,-16.07067944
407,1.7769,1.8376,1.7473995322978593,1.7193340146825973,1.7687,0,1.8197,1786641.2,1.718140000000002,0,0,0,1,go_short,15.54364762
408,2.3287,2.3935,2.273711953019352,2.2127551720518936,2.2998,1,2.377,1784625.8,2.1256600000000017,0,0,0,1,go_short,-2.498534
409,2.1997,2.4,2.603959852909772,2.957197624223941,1.1007,1,1.1007,6082677.0,3.0981600000000014,0,0,1,1,go_short,18.42492538
410,2.9082,2.9105,3.0007852491053835,3.178334828894805,2.41,1,2.4185,5559868.1,3.236108000000001,1,0,1,1,go_short,34.36202641
411,4.3202,4.49,4.170287668768237,4.134897395867246,4.2799,0,4.4773,4790813.1,4.120871999999991,0,0,0,1,go_short,-22.57253129
412,3.4052,3.4376,3.36534807566677,3.2836235116809256,3.3439,1,3.437,1422344.1,3.2895479999999897,0,0,0,1,go_short,7.22866352
413,4.353,4.3649,4.411011480357471,4.532725350863442,3.4637,1,3.8656,7990445.8,4.581271999999987,0,0,1,1,go_short,23.84042961
414,5.181,5.224,5.102326142586684,5.042451284733638,5.127,0,5.2197,1064491.9,5.052039999999988,0,0,0,1,go_short,-2.10981344
